Analyse enrichment

MAL ID: 21 | AniList ID: (hidden) | Enrichment: Success | Relations: 59
MAL ID: 48 | AniList ID: (hidden) | Enrichment: Success | Relations: 8
MAL ID: 320 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 49 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 304 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 306 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 53 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 47 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 591 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 54 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 55 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 56 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 57 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 368 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 68 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 889 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1519 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 58 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1222 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 458 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 406 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 1689 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 59 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 1780 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 60 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2167 | AniList ID: (hidden) | Enrichment: Success | Relations: 6
MAL ID: 1818 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 1575 | AniList ID: (hidden) | Enrichment: Success | Relations: 10
MAL ID: 841 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 289 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 1 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 5 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 62 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 61 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 2025 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 63 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 14837 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 296 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 226 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 393 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 356 | AniList ID: (hidden) | Enrichment: Success | Relations: 12
MAL ID: 317 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 1361 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 227 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 120 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 71 | AniList ID: (hidden) | Enrichment: Success | Relations: 6
MAL ID: 73 | AniList ID: (hidden) | Enrichment: Success | Relations: 5
MAL ID: 1015 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 72 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 122 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 121 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 382 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 2890 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 239 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 384 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 240 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 2508 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 1813 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 132 | AniList ID: (hidden) | Enrichment: Success | Relations: 0
MAL ID: 1571 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 476 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 241 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 268 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 188 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 245 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 133 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 297 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 267 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 266 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 16 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 263 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 264 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 265 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 5258 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 19647 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 403 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 318 | AniList ID: (hidden) | Enrichment: Success | Relations: 2
MAL ID: 319 | AniList ID: (hidden) | Enrichment: Failure | Relations: 0
MAL ID: 259 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
MAL ID: 260 | AniList ID: (hidden) | Enrichment: Success | Relations: 3
MAL ID: 261 | AniList ID: (hidden) | Enrichment: Success | Relations: 4
MAL ID: 262 | AniList ID: (hidden) | Enrichment: Success | Relations: 1
