Determine why this imported library produces multiple disconnected franchise groups.

Analyse every disconnected component

Final Fantasy

Component A
- Final Fantasy VII: Advent Children

Component B
- Final Fantasy: The Spirits Within

Reason:
Canonical normalization mismatch.

Analyse enrichment

| MAL ID | AniList ID | Enrichment | Relations |
|--------|------------|------------|-----------|
| 21 | Found | Success | 59 |
| 48 | Found | Success | 8 |
| 320 | Found | Success | 2 |
| 49 | Found | Success | 2 |
| 304 | Found | Success | 1 |
| 306 | Found | Success | 0 |
| 53 | Found | Success | 2 |
| 47 | Found | Success | 1 |
| 591 | Found | Success | 2 |
| 54 | Found | Success | 4 |
| 55 | Not Found | Failure | 0 |
| 56 | Not Found | Failure | 0 |
| 57 | Found | Success | 0 |
| 368 | Found | Success | 4 |
| 68 | Found | Success | 1 |
| 889 | Found | Success | 1 |
| 1519 | Found | Success | 3 |
| 58 | Found | Success | 1 |
| 1222 | Found | Success | 0 |
| 458 | Found | Success | 0 |
| 406 | Found | Success | 1 |
| 1689 | Found | Success | 2 |
| 59 | Found | Success | 3 |
| 1780 | Found | Success | 0 |
| 60 | Found | Success | 1 |
| 2167 | Found | Success | 6 |
| 1818 | Not Found | Failure | 0 |
| 1575 | Found | Success | 10 |
| 841 | Not Found | Failure | 0 |
| 289 | Found | Success | 4 |
| 1 | Found | Success | 3 |
| 5 | Found | Success | 1 |
| 62 | Found | Success | 3 |
| 61 | Not Found | Failure | 0 |
| 2025 | Found | Success | 1 |
| 63 | Found | Success | 1 |
| 14837 | Found | Success | 5 |
| 296 | Not Found | Failure | 0 |
| 226 | Found | Success | 1 |
| 393 | Found | Success | 1 |
| 356 | Found | Success | 12 |
| 317 | Found | Success | 5 |
| 1361 | Not Found | Failure | 0 |
| 227 | Found | Success | 1 |
| 120 | Found | Success | 1 |
| 71 | Found | Success | 6 |
| 73 | Found | Success | 5 |
| 1015 | Found | Success | 1 |
| 72 | Found | Success | 1 |
| 122 | Found | Success | 1 |
| 121 | Found | Success | 4 |
| 382 | Found | Success | 1 |
| 2890 | Found | Success | 0 |
| 239 | Found | Success | 0 |
| 384 | Found | Success | 2 |
| 240 | Found | Success | 2 |
| 2508 | Found | Success | 3 |
| 1813 | Found | Success | 3 |
| 132 | Found | Success | 0 |
| 1571 | Not Found | Failure | 0 |
| 476 | Not Found | Failure | 0 |
| 241 | Found | Success | 1 |
| 268 | Not Found | Failure | 0 |
| 188 | Found | Success | 2 |
| 245 | Found | Success | 1 |
| 133 | Found | Success | 3 |
| 297 | Found | Success | 1 |
| 267 | Not Found | Failure | 0 |
| 266 | Found | Success | 1 |
| 16 | Found | Success | 2 |
| 263 | Found | Success | 2 |
| 264 | Found | Success | 2 |
| 265 | Found | Success | 2 |
| 5258 | Found | Success | 2 |
| 19647 | Found | Success | 1 |
| 403 | Found | Success | 2 |
| 318 | Found | Success | 2 |
| 319 | Not Found | Failure | 0 |
| 259 | Found | Success | 1 |
| 260 | Found | Success | 3 |
| 261 | Found | Success | 4 |
| 262 | Found | Success | 1 |
| 15809 | Found | Success | 2 |
| 1030 | Found | Success | 0 |
| 270 | Found | Success | 1 |
| 5630 | Found | Success | 3 |
| 135 | Found | Success | 2 |
| 258 | Not Found | Failure | 0 |
| 256 | Found | Success | 0 |
| 431 | Found | Success | 2 |
| 17 | Not Found | Failure | 0 |
| 136 | Found | Success | 3 |
| 11061 | Found | Success | 8 |
